
############################
training grid
############################

Type : grid Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.04130, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.09446 sec, avg_samples: 72.0, avg_ips: 762.26194 images/sec.
Type : grid Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.06052, avg_reader_cost: 2.37939 sec, avg_batch_cost: 2.49428 sec, avg_samples: 96.0, avg_ips: 38.48800 images/sec.
Type : grid Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.03792, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11237 sec, avg_samples: 96.0, avg_ips: 854.35307 images/sec.
Type : grid Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.00780, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.09597 sec, avg_samples: 72.0, avg_ips: 750.26493 images/sec.
Type : grid Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.03142, avg_reader_cost: 2.38503 sec, avg_batch_cost: 2.49804 sec, avg_samples: 96.0, avg_ips: 38.43013 images/sec.
Type : grid Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.06433, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11208 sec, avg_samples: 96.0, avg_ips: 856.50298 images/sec.
Type : grid Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.03380, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.09307 sec, avg_samples: 72.0, avg_ips: 773.60110 images/sec.
Type : grid Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.01930, avg_reader_cost: 2.29910 sec, avg_batch_cost: 2.41335 sec, avg_samples: 96.0, avg_ips: 39.77879 images/sec.
Type : grid Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.01379, avg_reader_cost: 0.06694 sec, avg_batch_cost: 0.17800 sec, avg_samples: 96.0, avg_ips: 539.33820 images/sec.
Type : grid Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.05509, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.09387 sec, avg_samples: 72.0, avg_ips: 767.02273 images/sec.
Type : grid Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.00657, avg_reader_cost: 2.26720 sec, avg_batch_cost: 2.37967 sec, avg_samples: 96.0, avg_ips: 40.34169 images/sec.
Type : grid Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.02491, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11368 sec, avg_samples: 96.0, avg_ips: 844.51199 images/sec.
Type : grid Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.03117, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.09414 sec, avg_samples: 72.0, avg_ips: 764.85279 images/sec.
Type : grid Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.03229, avg_reader_cost: 1.64609 sec, avg_batch_cost: 1.75923 sec, avg_samples: 96.0, avg_ips: 54.56939 images/sec.
Type : grid Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.00518, avg_reader_cost: 0.24023 sec, avg_batch_cost: 0.35499 sec, avg_samples: 96.0, avg_ips: 270.42797 images/sec.
Type : grid Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.00534, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09368 sec, avg_samples: 72.0, avg_ips: 768.58052 images/sec.
Type : grid Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.03089, avg_reader_cost: 2.27695 sec, avg_batch_cost: 2.40422 sec, avg_samples: 96.0, avg_ips: 39.92986 images/sec.
Type : grid Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.00506, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11757 sec, avg_samples: 96.0, avg_ips: 816.52046 images/sec.
Type : grid Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.02832, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09291 sec, avg_samples: 72.0, avg_ips: 774.92318 images/sec.
Type : grid Test [ Epoch 16/256 ] test_cost: 3.801187 sec max_auc: 0.99081 roc_auc : 0.990810.
Type : grid Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.02415, avg_reader_cost: 2.38478 sec, avg_batch_cost: 2.49851 sec, avg_samples: 96.0, avg_ips: 38.42292 images/sec.
Type : grid Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.04639, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11507 sec, avg_samples: 96.0, avg_ips: 834.25675 images/sec.
Type : grid Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.01745, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09632 sec, avg_samples: 72.0, avg_ips: 747.51082 images/sec.
Type : grid Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.06487, avg_reader_cost: 2.30297 sec, avg_batch_cost: 2.41636 sec, avg_samples: 96.0, avg_ips: 39.72916 images/sec.
Type : grid Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.00486, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11291 sec, avg_samples: 96.0, avg_ips: 850.24164 images/sec.
Type : grid Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.02754, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.09460 sec, avg_samples: 72.0, avg_ips: 761.07857 images/sec.
Type : grid Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.02459, avg_reader_cost: 2.21729 sec, avg_batch_cost: 2.33043 sec, avg_samples: 96.0, avg_ips: 41.19419 images/sec.
Type : grid Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.01846, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11274 sec, avg_samples: 96.0, avg_ips: 851.52006 images/sec.
Type : grid Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.03038, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.09422 sec, avg_samples: 72.0, avg_ips: 764.15025 images/sec.
Type : grid Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.01478, avg_reader_cost: 2.33447 sec, avg_batch_cost: 2.44892 sec, avg_samples: 96.0, avg_ips: 39.20090 images/sec.
Type : grid Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.02349, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11360 sec, avg_samples: 96.0, avg_ips: 845.04548 images/sec.
