
############################
training tile
############################

Type : tile Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.07031, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.06203 sec, avg_samples: 38.0, avg_ips: 612.57308 images/sec.
Type : tile Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.09491, avg_reader_cost: 2.91269 sec, avg_batch_cost: 3.02590 sec, avg_samples: 96.0, avg_ips: 31.72606 images/sec.
Type : tile Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.09059, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11326 sec, avg_samples: 96.0, avg_ips: 847.58742 images/sec.
Type : tile Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.12133, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.06223 sec, avg_samples: 38.0, avg_ips: 610.59009 images/sec.
Type : tile Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.14260, avg_reader_cost: 2.82559 sec, avg_batch_cost: 2.93997 sec, avg_samples: 96.0, avg_ips: 32.65342 images/sec.
Type : tile Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.14164, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11375 sec, avg_samples: 96.0, avg_ips: 843.96503 images/sec.
Type : tile Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.18981, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.06126 sec, avg_samples: 38.0, avg_ips: 620.29980 images/sec.
Type : tile Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.12219, avg_reader_cost: 2.58932 sec, avg_batch_cost: 2.70389 sec, avg_samples: 96.0, avg_ips: 35.50440 images/sec.
Type : tile Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.09076, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11377 sec, avg_samples: 96.0, avg_ips: 843.79701 images/sec.
Type : tile Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.10300, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.06260 sec, avg_samples: 38.0, avg_ips: 606.99045 images/sec.
Type : tile Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.13235, avg_reader_cost: 2.88693 sec, avg_batch_cost: 3.00173 sec, avg_samples: 96.0, avg_ips: 31.98159 images/sec.
Type : tile Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.09594, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11469 sec, avg_samples: 96.0, avg_ips: 837.03850 images/sec.
Type : tile Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.06636, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.06369 sec, avg_samples: 38.0, avg_ips: 596.64717 images/sec.
Type : tile Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.05257, avg_reader_cost: 2.86667 sec, avg_batch_cost: 2.98271 sec, avg_samples: 96.0, avg_ips: 32.18554 images/sec.
Type : tile Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.10965, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11498 sec, avg_samples: 96.0, avg_ips: 834.94352 images/sec.
Type : tile Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.26335, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.06114 sec, avg_samples: 38.0, avg_ips: 621.53587 images/sec.
Type : tile Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.08652, avg_reader_cost: 2.79273 sec, avg_batch_cost: 2.91016 sec, avg_samples: 96.0, avg_ips: 32.98792 images/sec.
Type : tile Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.08236, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11155 sec, avg_samples: 96.0, avg_ips: 860.56680 images/sec.
Type : tile Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.05746, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.06062 sec, avg_samples: 38.0, avg_ips: 626.82306 images/sec.
Type : tile Test [ Epoch 16/256 ] test_cost: 8.226545 sec max_auc: 0.91089 roc_auc : 0.910895.
Type : tile Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.07411, avg_reader_cost: 3.02786 sec, avg_batch_cost: 3.14296 sec, avg_samples: 96.0, avg_ips: 30.54446 images/sec.
Type : tile Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.09967, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11469 sec, avg_samples: 96.0, avg_ips: 837.04372 images/sec.
Type : tile Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.02728, avg_reader_cost: 0.00038 sec, avg_batch_cost: 0.06342 sec, avg_samples: 38.0, avg_ips: 599.18403 images/sec.
Type : tile Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.08635, avg_reader_cost: 2.68328 sec, avg_batch_cost: 2.79608 sec, avg_samples: 96.0, avg_ips: 34.33374 images/sec.
Type : tile Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.10194, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11352 sec, avg_samples: 96.0, avg_ips: 845.69507 images/sec.
Type : tile Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.07477, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.06388 sec, avg_samples: 38.0, avg_ips: 594.88122 images/sec.
Type : tile Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.08447, avg_reader_cost: 2.62055 sec, avg_batch_cost: 2.73737 sec, avg_samples: 96.0, avg_ips: 35.07011 images/sec.
Type : tile Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.05905, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.12254 sec, avg_samples: 96.0, avg_ips: 783.41768 images/sec.
Type : tile Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.02796, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.06423 sec, avg_samples: 38.0, avg_ips: 591.58025 images/sec.
Type : tile Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.05912, avg_reader_cost: 2.80688 sec, avg_batch_cost: 2.92091 sec, avg_samples: 96.0, avg_ips: 32.86647 images/sec.
Type : tile Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.10898, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11552 sec, avg_samples: 96.0, avg_ips: 830.99920 images/sec.
Type : tile Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.13756, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.07507 sec, avg_samples: 38.0, avg_ips: 506.17236 images/sec.
Type : tile Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.07738, avg_reader_cost: 2.55295 sec, avg_batch_cost: 2.66911 sec, avg_samples: 96.0, avg_ips: 35.96710 images/sec.
Type : tile Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.06427, avg_reader_cost: 0.06264 sec, avg_batch_cost: 0.17504 sec, avg_samples: 96.0, avg_ips: 548.45128 images/sec.
Type : tile Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.12336, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.06023 sec, avg_samples: 38.0, avg_ips: 630.95212 images/sec.
Type : tile Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.07679, avg_reader_cost: 2.87543 sec, avg_batch_cost: 2.98854 sec, avg_samples: 96.0, avg_ips: 32.12275 images/sec.
Type : tile Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.09657, avg_reader_cost: 0.00054 sec, avg_batch_cost: 0.11371 sec, avg_samples: 96.0, avg_ips: 844.28710 images/sec.
Type : tile Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.02996, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05938 sec, avg_samples: 38.0, avg_ips: 639.97636 images/sec.
Type : tile Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.07889, avg_reader_cost: 2.64673 sec, avg_batch_cost: 2.76012 sec, avg_samples: 96.0, avg_ips: 34.78113 images/sec.
Type : tile Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.06790, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11368 sec, avg_samples: 96.0, avg_ips: 844.45886 images/sec.
Type : tile Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.13362, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.06281 sec, avg_samples: 38.0, avg_ips: 605.04568 images/sec.
Type : tile Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.07058, avg_reader_cost: 2.83370 sec, avg_batch_cost: 2.94692 sec, avg_samples: 96.0, avg_ips: 32.57636 images/sec.
Type : tile Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.05376, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11146 sec, avg_samples: 96.0, avg_ips: 861.28102 images/sec.
Type : tile Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.04652, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.06176 sec, avg_samples: 38.0, avg_ips: 615.30449 images/sec.
Type : tile Test [ Epoch 24/256 ] test_cost: 8.272574 sec max_auc: 0.92641 roc_auc : 0.926407.
Type : tile Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.14989, avg_reader_cost: 2.94240 sec, avg_batch_cost: 3.05874 sec, avg_samples: 96.0, avg_ips: 31.38549 images/sec.
Type : tile Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.10663, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11156 sec, avg_samples: 96.0, avg_ips: 860.50795 images/sec.
Type : tile Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.07058, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.06012 sec, avg_samples: 38.0, avg_ips: 632.03049 images/sec.
Type : tile Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.08535, avg_reader_cost: 2.72964 sec, avg_batch_cost: 2.84357 sec, avg_samples: 96.0, avg_ips: 33.76040 images/sec.
Type : tile Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.07893, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11457 sec, avg_samples: 96.0, avg_ips: 837.93732 images/sec.
Type : tile Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.11452, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.06102 sec, avg_samples: 38.0, avg_ips: 622.75255 images/sec.
Type : tile Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.09439, avg_reader_cost: 2.88121 sec, avg_batch_cost: 2.99528 sec, avg_samples: 96.0, avg_ips: 32.05044 images/sec.
Type : tile Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.11077, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11539 sec, avg_samples: 96.0, avg_ips: 831.95557 images/sec.
Type : tile Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.06041, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.06336 sec, avg_samples: 38.0, avg_ips: 599.73868 images/sec.
