
############################
training screw
############################

Type : screw Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.26651, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11660 sec, avg_samples: 96.0, avg_ips: 823.31389 images/sec.
Type : screw Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.24545, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11606 sec, avg_samples: 96.0, avg_ips: 827.12935 images/sec.
Type : screw Train [ Epoch 8/256 iter 4 ] lr: 0.02978, loss: 0.25404, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.05933 sec, avg_samples: 32.0, avg_ips: 539.36060 images/sec.
Type : screw Test [ Epoch 8/256 ] test_cost: 7.859906 sec max_auc: 0.46259 roc_auc : 0.462595.
Type : screw Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.17471, avg_reader_cost: 2.41112 sec, avg_batch_cost: 2.52563 sec, avg_samples: 96.0, avg_ips: 38.01026 images/sec.
Type : screw Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.14532, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11175 sec, avg_samples: 96.0, avg_ips: 859.03378 images/sec.
Type : screw Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.20354, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11179 sec, avg_samples: 96.0, avg_ips: 858.75163 images/sec.
Type : screw Train [ Epoch 9/256 iter 4 ] lr: 0.02971, loss: 0.13031, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05746 sec, avg_samples: 32.0, avg_ips: 556.91541 images/sec.
Type : screw Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.22663, avg_reader_cost: 2.55393 sec, avg_batch_cost: 2.67128 sec, avg_samples: 96.0, avg_ips: 35.93787 images/sec.
Type : screw Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.18392, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11484 sec, avg_samples: 96.0, avg_ips: 835.96974 images/sec.
Type : screw Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.18086, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11506 sec, avg_samples: 96.0, avg_ips: 834.31898 images/sec.
Type : screw Train [ Epoch 10/256 iter 4 ] lr: 0.02964, loss: 0.29768, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05651 sec, avg_samples: 32.0, avg_ips: 566.30997 images/sec.
Type : screw Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.20208, avg_reader_cost: 2.50407 sec, avg_batch_cost: 2.61995 sec, avg_samples: 96.0, avg_ips: 36.64190 images/sec.
Type : screw Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.17099, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11416 sec, avg_samples: 96.0, avg_ips: 840.92457 images/sec.
Type : screw Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.15547, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11877 sec, avg_samples: 96.0, avg_ips: 808.29382 images/sec.
Type : screw Train [ Epoch 11/256 iter 4 ] lr: 0.02955, loss: 0.13269, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05777 sec, avg_samples: 32.0, avg_ips: 553.87716 images/sec.
Type : screw Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.14312, avg_reader_cost: 2.49184 sec, avg_batch_cost: 2.60699 sec, avg_samples: 96.0, avg_ips: 36.82413 images/sec.
Type : screw Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.17601, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11477 sec, avg_samples: 96.0, avg_ips: 836.44383 images/sec.
Type : screw Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.17582, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11539 sec, avg_samples: 96.0, avg_ips: 831.94010 images/sec.
Type : screw Train [ Epoch 12/256 iter 4 ] lr: 0.02946, loss: 0.12363, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05694 sec, avg_samples: 32.0, avg_ips: 561.97783 images/sec.
Type : screw Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.14355, avg_reader_cost: 2.33675 sec, avg_batch_cost: 2.45080 sec, avg_samples: 96.0, avg_ips: 39.17083 images/sec.
Type : screw Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.22419, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11429 sec, avg_samples: 96.0, avg_ips: 839.99830 images/sec.
Type : screw Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.12559, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11294 sec, avg_samples: 96.0, avg_ips: 850.00113 images/sec.
Type : screw Train [ Epoch 13/256 iter 4 ] lr: 0.02935, loss: 0.11416, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05651 sec, avg_samples: 32.0, avg_ips: 566.31236 images/sec.
Type : screw Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.18935, avg_reader_cost: 2.27173 sec, avg_batch_cost: 2.39506 sec, avg_samples: 96.0, avg_ips: 40.08253 images/sec.
Type : screw Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.20155, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11661 sec, avg_samples: 96.0, avg_ips: 823.24824 images/sec.
Type : screw Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.13790, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.12092 sec, avg_samples: 96.0, avg_ips: 793.91527 images/sec.
Type : screw Train [ Epoch 14/256 iter 4 ] lr: 0.02924, loss: 0.10594, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05679 sec, avg_samples: 32.0, avg_ips: 563.50202 images/sec.
Type : screw Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.16403, avg_reader_cost: 2.15911 sec, avg_batch_cost: 2.27273 sec, avg_samples: 96.0, avg_ips: 42.23991 images/sec.
Type : screw Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.12825, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11282 sec, avg_samples: 96.0, avg_ips: 850.90644 images/sec.
Type : screw Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.17026, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11401 sec, avg_samples: 96.0, avg_ips: 842.04126 images/sec.
Type : screw Train [ Epoch 15/256 iter 4 ] lr: 0.02912, loss: 0.19855, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05682 sec, avg_samples: 32.0, avg_ips: 563.14973 images/sec.
Type : screw Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.09523, avg_reader_cost: 2.55146 sec, avg_batch_cost: 2.66888 sec, avg_samples: 96.0, avg_ips: 35.97014 images/sec.
Type : screw Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.15871, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.11531 sec, avg_samples: 96.0, avg_ips: 832.56109 images/sec.
Type : screw Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.11732, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11555 sec, avg_samples: 96.0, avg_ips: 830.78145 images/sec.
Type : screw Train [ Epoch 16/256 iter 4 ] lr: 0.02899, loss: 0.23977, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.05727 sec, avg_samples: 32.0, avg_ips: 558.75395 images/sec.
Type : screw Test [ Epoch 16/256 ] test_cost: 7.380240 sec max_auc: 0.57348 roc_auc : 0.573478.
Type : screw Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.09845, avg_reader_cost: 2.44509 sec, avg_batch_cost: 2.55975 sec, avg_samples: 96.0, avg_ips: 37.50359 images/sec.
Type : screw Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.18623, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.13197 sec, avg_samples: 96.0, avg_ips: 727.43056 images/sec.
Type : screw Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.18562, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11751 sec, avg_samples: 96.0, avg_ips: 816.97771 images/sec.
Type : screw Train [ Epoch 17/256 iter 4 ] lr: 0.02886, loss: 0.14677, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.06023 sec, avg_samples: 32.0, avg_ips: 531.31758 images/sec.
Type : screw Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.15290, avg_reader_cost: 2.54450 sec, avg_batch_cost: 2.65883 sec, avg_samples: 96.0, avg_ips: 36.10609 images/sec.
Type : screw Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.14730, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11504 sec, avg_samples: 96.0, avg_ips: 834.51783 images/sec.
Type : screw Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.18698, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11457 sec, avg_samples: 96.0, avg_ips: 837.91465 images/sec.
Type : screw Train [ Epoch 18/256 iter 4 ] lr: 0.02871, loss: 0.12944, avg_reader_cost: 0.00047 sec, avg_batch_cost: 0.05784 sec, avg_samples: 32.0, avg_ips: 553.25387 images/sec.
