
############################
training leather
############################

Type : leather Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.05733, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.07281 sec, avg_samples: 53.0, avg_ips: 727.87736 images/sec.
Type : leather Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.12471, avg_reader_cost: 2.41838 sec, avg_batch_cost: 2.53037 sec, avg_samples: 96.0, avg_ips: 37.93911 images/sec.
Type : leather Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.12483, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11217 sec, avg_samples: 96.0, avg_ips: 855.81667 images/sec.
Type : leather Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.07187, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.07373 sec, avg_samples: 53.0, avg_ips: 718.88558 images/sec.
Type : leather Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.08388, avg_reader_cost: 2.65642 sec, avg_batch_cost: 2.76837 sec, avg_samples: 96.0, avg_ips: 34.67746 images/sec.
Type : leather Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.05939, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11013 sec, avg_samples: 96.0, avg_ips: 871.73237 images/sec.
Type : leather Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.06601, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.07235 sec, avg_samples: 53.0, avg_ips: 732.55226 images/sec.
Type : leather Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.13949, avg_reader_cost: 2.60736 sec, avg_batch_cost: 2.71998 sec, avg_samples: 96.0, avg_ips: 35.29440 images/sec.
Type : leather Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.09562, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11142 sec, avg_samples: 96.0, avg_ips: 861.62198 images/sec.
Type : leather Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.09510, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.07326 sec, avg_samples: 53.0, avg_ips: 723.45475 images/sec.
Type : leather Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.08500, avg_reader_cost: 2.47946 sec, avg_batch_cost: 2.59109 sec, avg_samples: 96.0, avg_ips: 37.05002 images/sec.
Type : leather Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.09762, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10892 sec, avg_samples: 96.0, avg_ips: 881.41284 images/sec.
Type : leather Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.07926, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.07234 sec, avg_samples: 53.0, avg_ips: 732.68023 images/sec.
Type : leather Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.07138, avg_reader_cost: 2.52171 sec, avg_batch_cost: 2.63378 sec, avg_samples: 96.0, avg_ips: 36.44955 images/sec.
Type : leather Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.10201, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10894 sec, avg_samples: 96.0, avg_ips: 881.25080 images/sec.
Type : leather Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.04954, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.07210 sec, avg_samples: 53.0, avg_ips: 735.11280 images/sec.
Type : leather Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.03156, avg_reader_cost: 1.99061 sec, avg_batch_cost: 2.10197 sec, avg_samples: 96.0, avg_ips: 45.67138 images/sec.
Type : leather Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.08318, avg_reader_cost: 0.07177 sec, avg_batch_cost: 0.18230 sec, avg_samples: 96.0, avg_ips: 526.60355 images/sec.
Type : leather Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.02750, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.07404 sec, avg_samples: 53.0, avg_ips: 715.80915 images/sec.
Type : leather Test [ Epoch 16/256 ] test_cost: 10.706633 sec max_auc: 0.99796 roc_auc : 0.997962.
Type : leather Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.05045, avg_reader_cost: 2.70760 sec, avg_batch_cost: 2.82249 sec, avg_samples: 96.0, avg_ips: 34.01253 images/sec.
Type : leather Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.05447, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11194 sec, avg_samples: 96.0, avg_ips: 857.58108 images/sec.
Type : leather Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.02332, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.07548 sec, avg_samples: 53.0, avg_ips: 702.20396 images/sec.
Type : leather Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.02406, avg_reader_cost: 2.68867 sec, avg_batch_cost: 2.80234 sec, avg_samples: 96.0, avg_ips: 34.25712 images/sec.
Type : leather Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.06879, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11013 sec, avg_samples: 96.0, avg_ips: 871.72671 images/sec.
Type : leather Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.03514, avg_reader_cost: 0.00035 sec, avg_batch_cost: 0.07533 sec, avg_samples: 53.0, avg_ips: 703.61532 images/sec.
Type : leather Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.03712, avg_reader_cost: 2.54022 sec, avg_batch_cost: 2.65397 sec, avg_samples: 96.0, avg_ips: 36.17228 images/sec.
Type : leather Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.12910, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11189 sec, avg_samples: 96.0, avg_ips: 857.95568 images/sec.
Type : leather Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.05959, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07426 sec, avg_samples: 53.0, avg_ips: 713.72237 images/sec.
Type : leather Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.04149, avg_reader_cost: 2.27717 sec, avg_batch_cost: 2.38889 sec, avg_samples: 96.0, avg_ips: 40.18596 images/sec.
Type : leather Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.05243, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11196 sec, avg_samples: 96.0, avg_ips: 857.48611 images/sec.
Type : leather Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.03309, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.07425 sec, avg_samples: 53.0, avg_ips: 713.79800 images/sec.
Type : leather Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.02676, avg_reader_cost: 2.64812 sec, avg_batch_cost: 2.75403 sec, avg_samples: 96.0, avg_ips: 34.85801 images/sec.
Type : leather Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.03320, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10305 sec, avg_samples: 96.0, avg_ips: 931.59744 images/sec.
Type : leather Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.05674, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.06550 sec, avg_samples: 53.0, avg_ips: 809.11587 images/sec.
Type : leather Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.05190, avg_reader_cost: 2.56730 sec, avg_batch_cost: 2.67386 sec, avg_samples: 96.0, avg_ips: 35.90320 images/sec.
Type : leather Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.02169, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10278 sec, avg_samples: 96.0, avg_ips: 933.99825 images/sec.
Type : leather Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.02906, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.06553 sec, avg_samples: 53.0, avg_ips: 808.78616 images/sec.
Type : leather Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.11260, avg_reader_cost: 2.37826 sec, avg_batch_cost: 2.48481 sec, avg_samples: 96.0, avg_ips: 38.63469 images/sec.
Type : leather Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.05709, avg_reader_cost: 0.04487 sec, avg_batch_cost: 0.14741 sec, avg_samples: 96.0, avg_ips: 651.23993 images/sec.
