
############################
training carpet
############################

Type : carpet Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.39566, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10623 sec, avg_samples: 96.0, avg_ips: 903.72368 images/sec.
Type : carpet Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.33044, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09597 sec, avg_samples: 88.0, avg_ips: 916.91985 images/sec.
Type : carpet Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.34409, avg_reader_cost: 2.09936 sec, avg_batch_cost: 2.21240 sec, avg_samples: 96.0, avg_ips: 43.39173 images/sec.
Type : carpet Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.33317, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11360 sec, avg_samples: 96.0, avg_ips: 845.08272 images/sec.
Type : carpet Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.24259, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.10393 sec, avg_samples: 88.0, avg_ips: 846.72961 images/sec.
Type : carpet Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.29114, avg_reader_cost: 2.78383 sec, avg_batch_cost: 2.89086 sec, avg_samples: 96.0, avg_ips: 33.20806 images/sec.
Type : carpet Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.22804, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10431 sec, avg_samples: 96.0, avg_ips: 920.32700 images/sec.
Type : carpet Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.21569, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.09548 sec, avg_samples: 88.0, avg_ips: 921.67773 images/sec.
Type : carpet Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.25613, avg_reader_cost: 2.13959 sec, avg_batch_cost: 2.24580 sec, avg_samples: 96.0, avg_ips: 42.74639 images/sec.
Type : carpet Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.22792, avg_reader_cost: 0.32937 sec, avg_batch_cost: 0.43439 sec, avg_samples: 96.0, avg_ips: 220.99965 images/sec.
Type : carpet Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.23287, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09742 sec, avg_samples: 88.0, avg_ips: 903.33423 images/sec.
Type : carpet Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.21430, avg_reader_cost: 2.76558 sec, avg_batch_cost: 2.87451 sec, avg_samples: 96.0, avg_ips: 33.39704 images/sec.
Type : carpet Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.23977, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10402 sec, avg_samples: 96.0, avg_ips: 922.87512 images/sec.
